2025-10-30 03:25:27,497 | INFO | Base de datos destino: etl_puntafina@localhost:5432/orocommerce
2025-10-30 03:25:27,497 | INFO | Schema destino: dw_granular | Sources: public
2025-10-30 03:25:27,497 | INFO | Ejecutando 20 archivo(s) desde C:\PuntaFina_DW_Oro\sql\granular
2025-10-30 03:25:27,650 | INFO | [1/20] Ejecutando: oro_address_granular.sql
2025-10-30 03:25:27,652 | INFO |    Sentencias detectadas: 2
2025-10-30 03:25:27,662 | INFO |    OK sentencia 1/2
2025-10-30 03:25:27,671 | INFO |    OK sentencia 2/2
2025-10-30 03:25:27,673 | INFO |    COMMIT (0.02s)
2025-10-30 03:25:27,673 | INFO | [2/20] Ejecutando: oro_catalog_category_granular.sql
2025-10-30 03:25:27,674 | INFO |    Sentencias detectadas: 2
2025-10-30 03:25:27,678 | INFO |    OK sentencia 1/2
2025-10-30 03:25:27,693 | INFO |    OK sentencia 2/2
2025-10-30 03:25:27,694 | INFO |    COMMIT (0.02s)
2025-10-30 03:25:27,694 | INFO | [3/20] Ejecutando: oro_customer_granular.sql
2025-10-30 03:25:27,707 | INFO |    Sentencias detectadas: 3
2025-10-30 03:25:27,710 | INFO |    OK sentencia 1/3
2025-10-30 03:25:27,722 | INFO |    OK sentencia 2/3
2025-10-30 03:25:27,780 | INFO |    OK sentencia 3/3
2025-10-30 03:25:27,781 | INFO |    COMMIT (0.09s)
2025-10-30 03:25:27,781 | INFO | [4/20] Ejecutando: oro_customer_user_granular.sql
2025-10-30 03:25:27,782 | INFO |    Sentencias detectadas: 3
2025-10-30 03:25:27,782 | ERROR |    ROLLBACK por error en oro_customer_user_granular.sql: debe ser dueño de la vista oro_customer_user_granular

2025-10-30 03:25:27,783 | INFO | [5/20] Ejecutando: oro_inventory_level_granular.sql
2025-10-30 03:25:27,783 | INFO |    Sentencias detectadas: 2
2025-10-30 03:25:27,786 | INFO |    OK sentencia 1/2
2025-10-30 03:25:27,813 | INFO |    OK sentencia 2/2
2025-10-30 03:25:27,814 | INFO |    COMMIT (0.03s)
2025-10-30 03:25:27,814 | INFO | [6/20] Ejecutando: oro_order_granular.sql
2025-10-30 03:25:27,815 | INFO |    Sentencias detectadas: 3
2025-10-30 03:25:27,817 | ERROR |    ROLLBACK por error en oro_order_granular.sql: debe ser dueño de la vista oro_order_granular

2025-10-30 03:25:27,817 | INFO | [7/20] Ejecutando: oro_order_line_item_granular.sql
2025-10-30 03:25:27,818 | INFO |    Sentencias detectadas: 3
2025-10-30 03:25:27,820 | ERROR |    ROLLBACK por error en oro_order_line_item_granular.sql: debe ser dueño de la vista oro_order_line_item_granular

2025-10-30 03:25:27,820 | INFO | [8/20] Ejecutando: oro_payment_status_granular.sql
2025-10-30 03:25:27,821 | INFO |    Sentencias detectadas: 2
2025-10-30 03:25:27,823 | INFO |    OK sentencia 1/2
2025-10-30 03:25:27,835 | INFO |    OK sentencia 2/2
2025-10-30 03:25:27,835 | INFO |    COMMIT (0.02s)
2025-10-30 03:25:27,836 | INFO | [9/20] Ejecutando: oro_payment_transaction_granular.sql
2025-10-30 03:25:27,836 | INFO |    Sentencias detectadas: 3
